dynamic_metric,image_motion_qc_feature,image_motion_qc_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
cross_network_communication,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.5134406693997344,0.9073906686781444,-0.12412173698885957,0.6027289022857427,-0.09899888765294772
effective_barrier_proxy,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.7436729151111559,0.9411454421443864,-0.06228930555590157,0.44153673219372574,-0.14595616955374333
entropy_diversity,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.8312263834167952,0.951334836687703,-0.04062191666269054,0.6834144011145574,-0.07764182424916574
hierarchical_compression,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.08034491403614218,0.4820694842168531,-0.32435189632705597,0.12322467231858567,-0.2876529477196885
metastability_proxy,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.05586977843225069,0.3831070521068619,0.35276404418003127,0.09915368989561775,0.3067853170189099
switching_rate,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.9166838769594534,0.9610425648407773,0.019945044091417626,0.5990068516544461,0.10001121214725567
thalamic_coupling,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.7744920338024885,0.9411454421443864,0.054588824791816655,0.7641029227953106,0.057174638487208
within_network_stability,com_displacement_max_mm_delta_lsd_minus_placebo,False,30,0.5574916723817198,0.9334744281740425,0.11149559914714463,0.3840102408469911,0.16484983314794216
cross_network_communication,com_displacement_max_mm_mean_abs,False,30,0.13213988555722675,0.616686531473847,0.2812722690557939,0.21365894749258096,0.23381535038932147
effective_barrier_proxy,com_displacement_max_mm_mean_abs,False,30,0.7505629579090851,0.9411454421443864,0.060559796696541976,0.8162890761671128,0.044276338020114214
entropy_diversity,com_displacement_max_mm_mean_abs,False,30,0.00369956817994888,0.11612697616803207,-0.5135736583562159,0.016678852381236304,-0.43359288097886545
hierarchical_compression,com_displacement_max_mm_mean_abs,False,30,0.28874399090477054,0.7995987440439799,0.20022747243954547,0.5945623004709505,0.10122358175750834
metastability_proxy,com_displacement_max_mm_mean_abs,False,30,0.20504719387919798,0.7371049702932915,-0.2381498863174461,0.4694880456705673,-0.13726362625139044
switching_rate,com_displacement_max_mm_mean_abs,False,30,0.7101622508463319,0.9411454421443864,-0.07077363507804402,0.8324781730845117,-0.04031632382773558
thalamic_coupling,com_displacement_max_mm_mean_abs,False,30,0.42689973043461077,0.8677049047035689,0.15062656601116017,0.42281175692313056,0.15194660734149054
within_network_stability,com_displacement_max_mm_mean_abs,False,30,0.0029130596245579305,0.11612697616803207,0.5247012418083763,0.009512197230325236,0.46562847608453833
cross_network_communication,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.37477849304882505,0.8553601945678141,-0.1680285447438618,0.4694880456705673,-0.13726362625139044
effective_barrier_proxy,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.5227526951250248,0.9073906686781444,0.12141065169780065,0.692006562461072,0.07542552054682775
entropy_diversity,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.09814111988736945,0.5435508178377385,0.307663381722704,0.021676103633107405,0.4175750834260289
hierarchical_compression,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.6890876199631583,0.9411454421443864,-0.0761773462677123,0.9916218614160739,-0.0020022246941045607
metastability_proxy,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.285963760507988,0.7995987440439799,0.2013619240535085,0.4187001583687509,0.1532814238042269
switching_rate,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.40785598193735617,0.8677049047035689,-0.15683741240059892,0.6404817231130681,-0.08887410611749447
thalamic_coupling,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.3297407710365262,0.8148976726420812,-0.18424264996199038,0.15135592862640532,-0.26852057842046717
within_network_stability,com_displacement_mean_mm_delta_lsd_minus_placebo,False,30,0.4254098525313176,0.8677049047035689,-0.15110684856570744,0.5929347347453279,-0.10166852057842046
cross_network_communication,com_displacement_mean_mm_mean_abs,False,30,0.7170844612972938,0.9411454421443864,0.06901064132182129,0.9525495284707406,0.011345939933259176
effective_barrier_proxy,com_displacement_mean_mm_mean_abs,False,30,0.6838109425710759,0.9411454421443864,0.07753932076690609,0.6730817214580339,0.08032039208673987
