held_out_subject,sample_count,rmse_no_input,rmse_condition_input,rmse_condition_interaction,rmse_improvement,relative_improvement_pct,condition_bias_rmse_improvement,condition_bias_relative_improvement_pct,condition_interaction_rmse_improvement,condition_interaction_relative_improvement_pct
sub-001,864,0.5269970327273249,0.5269969746708147,0.5274264979542239,5.805651015489133e-08,1.101647761742342e-05,5.805651015489133e-08,1.101647761742342e-05,-0.00042946522689901734,-0.08149291176772683
sub-002,864,0.5293431688435878,0.5293430876742847,0.528034353001446,8.11693030566829e-08,1.533396628769325e-05,8.11693030566829e-08,1.533396628769325e-05,0.0013088158421418195,0.24725280671914235
sub-003,864,0.507573822591085,0.5075724579514342,0.5087125724321309,1.3646396507249747e-06,0.00026885540388168615,1.3646396507249747e-06,0.00026885540388168615,-0.001138749841045894,-0.2243515702273128
sub-004,864,0.5402057182188766,0.5402052614159887,0.5401627848463098,4.568028879603503e-07,8.456091310297205e-05,4.568028879603503e-07,8.456091310297205e-05,4.2933372566889005e-05,0.007947596835599133
sub-006,864,0.5481141096944666,0.5481141398744672,0.5498057121648924,-3.0180000609725255e-08,-5.506152838602967e-06,-3.0180000609725255e-08,-5.506152838602967e-06,-0.0016916024704257682,-0.30862231796381095
sub-009,864,0.5308024639589057,0.5308026938591723,0.5310348828348638,-2.2990026660174578e-07,-4.3311831088173784e-05,-2.2990026660174578e-07,-4.3311831088173784e-05,-0.00023241887595804034,-0.04378632198211386
sub-010,864,0.5505714656291495,0.5505727683740573,0.5521146837621721,-1.3027449078384379e-06,-0.00023661685887585259,-1.3027449078384379e-06,-0.00023661685887585259,-0.0015432181330226058,-0.2802938817868337
sub-011,864,0.5195790343744379,0.519581022707082,0.5195803247420558,-1.988332644087265e-06,-0.00038268146182633705,-1.988332644087265e-06,-0.00038268146182633705,-1.2903676179787382e-06,-0.0002483486693284908
sub-012,864,0.520988114391695,0.5209882240022073,0.5203137255690761,-1.0961051233326913e-07,-2.1038966015808288e-05,-1.0961051233326913e-07,-2.1038966015808288e-05,0.0006743888226189432,0.12944418576733915
sub-013,864,0.5220627534987743,0.5220629183585686,0.5246662164964042,-1.648597942605079e-07,-3.1578539774317563e-05,-1.648597942605079e-07,-3.1578539774317563e-05,-0.002603462997629924,-0.4986877497354418
sub-015,864,0.5524841356819796,0.5524842131462309,0.5527663670546699,-7.746425123578149e-08,-1.4021081553800739e-05,-7.746425123578149e-08,-1.4021081553800739e-05,-0.0002822313726902337,-0.051084068204393006
sub-017,864,0.48679465055622706,0.48679390721149823,0.48660646700280297,7.433447288263118e-07,0.00015270190992792184,7.433447288263118e-07,0.00015270190992792184,0.00018818355342409276,0.03865768722172034
sub-018,864,0.5310282413387291,0.531030466975736,0.5309964834080593,-2.2256370069140274e-06,-0.00041911838837481935,-2.2256370069140274e-06,-0.00041911838837481935,3.1757930669784606e-05,0.005980459831989812
sub-019,864,0.5102399972173466,0.5102406958700608,0.5109631081796635,-6.986527142371912e-07,-0.00013692629312624948,-6.986527142371912e-07,-0.00013692629312624948,-0.0007231109623169196,-0.141719772315085
sub-020,864,0.533681343822667,0.5336818288517637,0.5332007705308487,-4.850290967750581e-07,-9.088365227475983e-05,-4.850290967750581e-07,-9.088365227475983e-05,0.0004805732918182759,0.09004873364618908
