metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
global_mean_fc,0.07151026317865503,0.09779020819597059,0.731261999517878,0.731261999517878,1,0.7333333333333333,0.008062400855123997,positive means globally stronger FC under LSD,0.107799730474,0.037788669332,1024,30,0.029562136468787987,True,True
within_network_segregation,0.04719850725480669,0.12661299876589308,0.3727777377903871,-0.3727777377903871,-1,0.4666666666666667,0.707667644135654,negative means weaker within-network segregation under LSD,0.089871498709,0.000300383298,1024,30,0.8649271206102438,False,False
between_network_integration,0.09389973441903991,0.13583549859733432,0.6912753690211185,0.6912753690211185,1,0.7333333333333333,0.008062400855123997,positive means stronger between-network integration under LSD,0.141828003307,0.047152982204,1024,30,0.029562136468787987,True,True
integration_segregation_balance,0.046701227164233215,0.13454836648752355,0.34709620327173385,0.34709620327173385,1,0.5333333333333333,0.427767775952816,positive means integration increases relative to segregation under LSD,0.091658590319,0.000211159814,1024,30,0.786819308064878,False,False
dynamic_fc_variance,-0.0009380628251589839,0.011260124303203702,-0.0833083898454024,-0.0833083898454024,1,0.43333333333333335,0.8192026959732175,positive means a broader time-varying FC repertoire under LSD,0.002841193747,-0.005094730851,1024,30,0.9011229655705393,False,False
dynamic_fc_path_length,-0.0957025607519862,0.1530422478212624,-0.6253342597513135,-0.6253342597513135,1,0.3333333333333333,0.9786130273714662,positive means larger movement through FC-state space under LSD,-0.043053706985,-0.147521204888,1024,30,0.9786130273714662,False,False
trajectory_step_distance,0.007018187057187264,0.08779936450152656,0.07993437192891344,0.07993437192891344,1,0.5,0.572232224047184,positive means larger macro-trajectory steps under LSD,0.037851357813,-0.025713277466,1024,30,0.786819308064878,False,False
graph_modularity_q,-0.009432842184224698,0.061164021595567865,-0.15422207268510008,0.15422207268510008,-1,0.5,0.572232224047184,negative means lower graph modularity under LSD,0.011361312927,-0.031812105515,1024,30,0.786819308064878,False,False
graph_modularity_reduction_proxy,0.009432842184224698,0.061164021595567865,0.15422207268510008,0.15422207268510008,1,0.5,0.572232224047184,positive means reduced graph modularity under LSD,0.030929520407,-0.012329403983,1024,30,0.786819308064878,False,False
mean_participation_coefficient,0.027867808871923576,0.07112061737155641,0.39183868056619087,0.39183868056619087,1,0.5666666666666667,0.292332355864346,positive means nodes distribute connectivity across more communities under LSD,0.052282606877,0.003345755325,1024,30,0.786819308064878,False,False
global_efficiency,0.05252972608906539,0.07483529351991543,0.7019378640518862,0.7019378640518862,1,0.7333333333333333,0.008062400855123997,positive means stronger graph-theoretic integration under LSD,0.08004363039,0.027344937581,1024,30,0.029562136468787987,True,True
