metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,support_direction
sensory_transmodal_coupling,0.04733502986356756,0.10044934238446776,0.4712328497123826,0.4712328497123826,1,0.7333333333333333,0.008062400855123997,positive means stronger sensory-to-transmodal coupling under LSD,supports_expected_direction
sensory_global_coupling,0.05747387656117651,0.10541857607305828,0.545196859055897,0.545196859055897,1,0.7333333333333333,0.008062400855123997,positive means stronger sensory/somatomotor global coupling under LSD,supports_expected_direction
associative_global_coupling,0.06958499990816072,0.09861003443409624,0.7056584079652285,-0.7056584079652285,-1,0.3,0.991937599144876,negative means weaker associative-network global coupling under LSD,opposes_expected_direction
thalamic_global_coupling,0.11991820431751381,0.17604435741263116,0.6811817548712282,0.6811817548712282,1,0.7666666666666667,0.002611439675092697,positive means stronger thalamic-gateway coupling with cortex under LSD,supports_expected_direction
thalamic_sensory_coupling,0.09802926335161216,0.23038932424579184,0.42549394887338277,0.42549394887338277,1,0.6,0.1807973040267825,positive means stronger thalamic-gateway coupling with sensory modules under LSD,supports_expected_direction
thalamic_transmodal_coupling,0.13633491004194007,0.1785981447914905,0.7633612891170183,0.7633612891170183,1,0.8,0.000715453177690506,positive means stronger thalamic-gateway coupling with transmodal modules under LSD,supports_expected_direction
hierarchy_differentiation,-0.00013652260876082696,0.10068867561021531,-0.0013558884147938494,0.0013558884147938494,-1,0.5333333333333333,0.427767775952816,negative means reduced within-vs-cross hierarchy separation under LSD,supports_expected_direction
hierarchy_flattening_proxy,0.00013652260876082696,0.10068867561021531,0.0013558884147938494,0.0013558884147938494,1,0.5333333333333333,0.427767775952816,positive means hierarchy differentiation is reduced under LSD,supports_expected_direction
hierarchy_coupling_gradient_magnitude,-0.06401936501525285,0.27669778203113016,-0.23136927425045384,0.23136927425045384,-1,0.5333333333333333,0.427767775952816,negative means node global-coupling is less tied to the hierarchy proxy under LSD,supports_expected_direction
hierarchy_gradient_flattening_proxy,0.06401936501525285,0.27669778203113016,0.23136927425045384,0.23136927425045384,1,0.5333333333333333,0.427767775952816,positive means reduced hierarchy/global-coupling gradient strength under LSD,supports_expected_direction
receptor_weighted_global_coupling,0.07908784057253675,0.09439673936720396,0.8378238602594578,0.8378238602594578,1,0.7666666666666667,0.002611439675092697,positive means stronger global coupling in high receptor-prior modules under LSD,supports_expected_direction
receptor_global_coupling_alignment,0.27038128578768716,0.4518829983902144,0.5983435684699182,0.5983435684699182,1,0.6666666666666666,0.04936857335269451,positive means high receptor-prior modules align more with global coupling under LSD,supports_expected_direction
