metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,support_direction
global_mean_fc,0.07151026317865503,0.09779020819597059,0.731261999517878,0.731261999517878,1,0.7333333333333333,0.008062400855123997,positive means globally stronger FC under LSD,supports_expected_direction
within_network_segregation,0.04719850725480669,0.12661299876589308,0.3727777377903871,-0.3727777377903871,-1,0.4666666666666667,0.707667644135654,negative means weaker within-network segregation under LSD,opposes_expected_direction
between_network_integration,0.09389973441903991,0.13583549859733432,0.6912753690211185,0.6912753690211185,1,0.7333333333333333,0.008062400855123997,positive means stronger between-network integration under LSD,supports_expected_direction
integration_segregation_balance,0.046701227164233215,0.13454836648752355,0.34709620327173385,0.34709620327173385,1,0.5333333333333333,0.427767775952816,positive means integration increases relative to segregation under LSD,supports_expected_direction
dynamic_fc_variance,-0.0009380628251589839,0.011260124303203702,-0.0833083898454024,-0.0833083898454024,1,0.43333333333333335,0.8192026959732175,positive means a broader time-varying FC repertoire under LSD,opposes_expected_direction
dynamic_fc_path_length,-0.0957025607519862,0.1530422478212624,-0.6253342597513135,-0.6253342597513135,1,0.3333333333333333,0.9786130273714662,positive means larger movement through FC-state space under LSD,opposes_expected_direction
trajectory_step_distance,0.007018187057187264,0.08779936450152656,0.07993437192891344,0.07993437192891344,1,0.5,0.572232224047184,positive means larger macro-trajectory steps under LSD,supports_expected_direction
graph_modularity_q,-0.009432842184224698,0.061164021595567865,-0.15422207268510008,0.15422207268510008,-1,0.5,0.572232224047184,negative means lower graph modularity under LSD,supports_expected_direction
graph_modularity_reduction_proxy,0.009432842184224698,0.061164021595567865,0.15422207268510008,0.15422207268510008,1,0.5,0.572232224047184,positive means reduced graph modularity under LSD,supports_expected_direction
mean_participation_coefficient,0.027867808871923576,0.07112061737155641,0.39183868056619087,0.39183868056619087,1,0.5666666666666667,0.292332355864346,positive means nodes distribute connectivity across more communities under LSD,supports_expected_direction
global_efficiency,0.05252972608906539,0.07483529351991543,0.7019378640518862,0.7019378640518862,1,0.7333333333333333,0.008062400855123997,positive means stronger graph-theoretic integration under LSD,supports_expected_direction
