iteration,layer,rank,score
0,A,4,0.013554263357026431
0,B,5,-0.019002436696817775
0,C,1,0.256104357036586
0,D,2,0.25067055423272405
0,E,3,0.10592498760737051
1,A,3,0.17439500610106115
1,B,5,-0.052580117800663725
1,C,1,0.4172482687051333
1,D,4,0.10401270550935059
1,E,2,0.32798134055740413
2,A,4,0.052535759280528206
2,B,5,-0.07956903298408788
2,C,1,0.3313300067792654
2,D,3,0.09246271135443858
2,E,2,0.22414256273683936
3,A,3,0.2502863014300269
3,B,5,0.02075318332031469
3,C,1,0.41188858589439314
3,D,4,0.22431590331002316
3,E,2,0.27582958435504223
4,A,4,-0.054410337049836645
4,B,5,-0.15706124728897425
4,C,1,0.37014308195141765
4,D,3,0.12401135320755956
4,E,2,0.3669866076431728
5,A,3,0.18258700073380546
5,B,5,-0.0369352661597634
5,C,1,0.3518483880012307
5,D,4,0.027759183917096315
5,E,2,0.32807292218194134
6,A,2,0.17164629525396105
6,B,5,-0.09853270561699681
6,C,1,0.23905200606062432
6,D,3,0.06676862894981309
6,E,4,0.062145583861578826
7,A,2,0.19625812045978785
7,B,5,-0.059725096473465904
7,C,1,0.26952796407328783
7,D,4,0.15146836681621428
7,E,3,0.18305386603518053
8,A,4,0.13509217895281583
8,B,5,-0.07792326779860499
8,C,2,0.3102029502178934
8,D,3,0.23871303333802596
8,E,1,0.3427543647581518
9,A,4,0.03856207526132979
9,B,5,-0.025436285785351866
9,C,1,0.37172200109395587
9,D,3,0.12982605375578965
9,E,2,0.20520297394551484
10,A,2,0.23843401107417783
10,B,5,-0.07350756602250226
10,C,1,0.34535746704873904
10,D,4,0.09918641666354007
10,E,3,0.14375486515804695
11,A,1,0.4644046511292266
11,B,5,-0.09722498787215215
11,C,2,0.3753490049906478
11,D,4,0.09937591012889116
11,E,3,0.27882955522279407
12,A,4,0.10100677453636686
12,B,5,-0.09885564934251187
12,C,1,0.38053308262116237
12,D,3,0.28690709482415944
12,E,2,0.3257482053974018
13,A,3,0.08529218177233136
13,B,5,-0.059784774319118904
13,C,1,0.2598217355777004
13,D,4,0.019453344559571355
13,E,2,0.14702917394736675
14,A,3,0.16948104651828094
14,B,5,-0.01624849686758127
14,C,1,0.2648645100809899
14,D,2,0.23182359697211313
14,E,4,0.050836809664360424
15,A,2,0.21625345650717373
15,B,5,-0.04942681716429047
15,C,1,0.22341926330137823
15,D,4,-0.03697003769345672
15,E,3,0.10413209112684516
16,A,2,0.3100619731418026
16,B,5,-0.06518627126118517
16,C,1,0.3107609165557889
16,D,4,0.1511878736195234
16,E,3,0.22581790557578132
17,A,5,-0.10227868850065952
17,B,4,-0.03690050361718675
17,C,1,0.45953273663394034
17,D,3,0.3087771617452887
17,E,2,0.3237647963812039
18,A,2,0.22849527904460887
18,B,5,-0.0949511064079145
18,C,1,0.29398287602899376
18,D,3,0.13940202024927698
18,E,4,0.023213128482654347
19,A,2,0.3102672552070956
19,B,5,-0.11150496044172648
19,C,1,0.3402760982363321
19,D,4,0.09690477980494953
19,E,3,0.2187461214575494
20,A,4,0.08868595048394667
20,B,5,-0.09023214697802348
20,C,1,0.37765847322397833
20,D,3,0.13380008940987276
20,E,2,0.2820611336830221
21,A,1,0.4416786175587688
21,B,5,-0.10346978793412703
21,C,3,0.3371052499043895
21,D,4,0.1146801310947527
21,E,2,0.3815179409581778
22,A,4,0.08032705590389179
22,B,5,-0.048201554367334136
22,C,1,0.35608353765960205
22,D,2,0.2648316198115417
22,E,3,0.1691737017637748
23,A,2,0.3702596039068654
23,B,5,-0.09884630924421822
23,C,1,0.4119367984946545
23,D,4,0.21869376201938295
23,E,3,0.3399750118594655
24,A,3,0.1729900326292865
