run,metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
run-01,state_occupancy_entropy,-0.00044360155246556674,0.0009247616888664668,-0.47969283092740844,-0.47969283092740844,1,0.2857142857142857,0.9713134765625,positive means broader state occupancy under LSD,-8.356253e-06,-0.000862841617,1024,15,0.9713134765625,False,False
run-01,transition_entropy,0.004480543300841896,0.027153378685158085,0.16500868465738816,0.16500868465738816,1,0.6666666666666666,0.15087890625,positive means more diverse transitions under LSD,0.017438755736,-0.007204869284,1024,15,0.4554290771484375,False,False
run-01,transition_rate,0.015123456790123453,0.058389645560950484,0.2590092240641659,0.2590092240641659,1,0.6,0.303619384765625,positive means more frequent state switching under LSD,0.04475308642,-0.012476851852,1024,15,0.4554290771484375,False,False
run-01,mean_dwell_time,-0.09705139744561908,0.3347746739040614,-0.2899006556076334,0.2899006556076334,-1,0.6,0.303619384765625,negative means shorter dwell times under LSD,0.062637291639,-0.256481252123,1024,15,0.4554290771484375,False,False
run-01,barrier_reduction_proxy,0.09705139744561908,0.3347746739040614,0.2899006556076334,0.2899006556076334,1,0.6,0.303619384765625,positive means shorter dwell times under LSD,0.272796720389,-0.061494925084,1024,15,0.4554290771484375,False,False
run-01,transition_step_distance_proxy,0.014341733102759635,0.0736395546220966,0.19475583708183092,0.19475583708183092,1,0.5333333333333333,0.5,positive means larger one-step macro-state movement under LSD,0.04932131022,-0.020578356315,1024,15,0.6,False,False
run-03,state_occupancy_entropy,-0.0002615785373552004,0.0003158620171669984,-0.8281417933733454,-0.8281417933733454,1,0.26666666666666666,0.982421875,positive means broader state occupancy under LSD,-0.000109523187,-0.000421608208,1024,15,0.982421875,False,False
run-03,transition_entropy,0.0032999196308650448,0.018162748208935032,0.18168614093552612,0.18168614093552612,1,0.6666666666666666,0.15087890625,positive means more diverse transitions under LSD,0.011630666379,-0.006131717851,1024,15,0.317962646484375,False,False
run-03,transition_rate,0.0018518518518518638,0.05101003155866415,0.036303679791339465,0.036303679791339465,1,0.6428571428571429,0.21197509765625,positive means more frequent state switching under LSD,0.026983024691,-0.023719135802,1024,15,0.317962646484375,False,False
run-03,mean_dwell_time,-0.019394452051454004,0.28864932454425374,-0.06719036007472305,0.06719036007472305,-1,0.6428571428571429,0.21197509765625,negative means shorter dwell times under LSD,0.126816234554,-0.149391948926,1024,15,0.317962646484375,False,False
run-03,barrier_reduction_proxy,0.019394452051454004,0.28864932454425374,0.06719036007472305,0.06719036007472305,1,0.6428571428571429,0.21197509765625,positive means shorter dwell times under LSD,0.151750721372,-0.124365301647,1024,15,0.317962646484375,False,False
run-03,transition_step_distance_proxy,-0.0003053589883851071,0.10212916119505124,-0.002989929465903648,-0.002989929465903648,1,0.4666666666666667,0.696380615234375,positive means larger one-step macro-state movement under LSD,0.050657747415,-0.050045567325,1024,15,0.83565673828125,False,False
