source,target,weight
visual,auditory,
visual,salience,
visual,default_mode,
visual,executive_frontoparietal,
visual,limbic_affective,
visual,thalamic_gateway,
visual,sensorimotor,
auditory,salience,
auditory,default_mode,
auditory,executive_frontoparietal,
auditory,limbic_affective,
auditory,thalamic_gateway,
auditory,sensorimotor,
salience,default_mode,
salience,executive_frontoparietal,
salience,limbic_affective,
salience,thalamic_gateway,
salience,sensorimotor,
default_mode,executive_frontoparietal,
default_mode,limbic_affective,
default_mode,thalamic_gateway,
default_mode,sensorimotor,
executive_frontoparietal,limbic_affective,
executive_frontoparietal,thalamic_gateway,
executive_frontoparietal,sensorimotor,
limbic_affective,thalamic_gateway,
limbic_affective,sensorimotor,
thalamic_gateway,sensorimotor,
